iter	Passed	Remaining
886	1464	186
887	1465	184
888	1467	183
889	1468	181
890	1469	179
891	1470	178
892	1471	176
893	1473	174
894	1474	173
895	1476	171
896	1477	169
897	1478	167
898	1480	166
899	1480	164
900	1482	162
901	1483	161
902	1484	159
903	1485	157
904	1486	156
905	1487	154
906	1488	152
907	1489	150
908	1491	149
909	1492	147
910	1494	145
911	1494	144
912	1495	142
913	1497	140
914	1498	139
915	1499	137
916	1500	135
917	1501	134
918	1502	132
919	1502	130
920	1504	129
921	1505	127
922	1506	125
923	1507	123
924	1508	122
925	1509	120
926	1511	118
927	1512	117
928	1513	115
929	1514	113
930	1515	112
931	1516	110
932	1516	108
933	1517	107
934	1518	105
935	1519	103
936	1520	102
937	1521	100
938	1523	98
939	1524	97
940	1525	95
941	1526	93
942	1527	92
943	1528	90
944	1529	89
945	1530	87
946	1531	85
947	1532	84
948	1533	82
949	1534	80
950	1535	79
951	1536	77
952	1537	75
953	1538	74
954	1540	72
955	1541	70
956	1542	69
957	1543	67
958	1544	66
959	1546	64
960	1547	62
961	1548	61
962	1550	59
963	1551	57
964	1552	56
965	1553	54
966	1554	53
967	1555	51
968	1556	49
969	1558	48
970	1559	46
971	1560	44
972	1560	43
973	1562	41
974	1563	40
975	1565	38
976	1566	36
977	1567	35
978	1568	33
979	1569	32
980	1571	30
981	1572	28
982	1573	27
983	1574	25
984	1575	23
985	1577	22
986	1578	20
987	1578	19
988	1579	17
989	1580	15
990	1582	14
991	1583	12
992	1584	11
993	1585	9
994	1586	7
995	1588	6
996	1589	4
997	1590	3
998	1591	1
999	1592	0
